20200101|0| 
20200102|1| 
20200103|1| 
20200104|0| 
20200105|0| 
20200106|1| 
20200107|1| 
20200108|1| 
20200109|1| 
20200110|1| 
20200111|0| 
20200112|0| 
20200113|1| 
20200114|1| 
20200115|1| 
20200116|1| 
20200117|1| 
20200118|0| 
20200119|0| 
20200120|1| 
20200121|1| 
20200122|1| 
20200123|1| 
20200124|0| 
20200125|0| 
20200126|0| 
20200127|0| 
20200128|0| 
20200129|0| 
20200130|0| 
20200131|0| 
20200201|0| 
20200202|0| 
20200203|1| 
20200204|1| 
20200205|1| 
20200206|1| 
20200207|1| 
20200208|0| 
20200209|0| 
20200210|1| 
20200211|1| 
20200212|1| 
20200213|1| 
20200214|1| 
20200215|0| 
20200216|0| 
20200217|1| 
20200218|1| 
20200219|1| 
20200220|1| 
20200221|1| 
20200222|0| 
20200223|0| 
20200224|1| 
20200225|1| 
20200226|1| 
20200227|1| 
20200228|1| 
20200229|0| 
20200301|0| 
20200302|1| 
20200303|1| 
20200304|1| 
20200305|1| 
20200306|1| 
20200307|0| 
20200308|0| 
20200309|1| 
20200310|1| 
20200311|1| 
20200312|1| 
20200313|1| 
20200314|0| 
20200315|0| 
20200316|1| 
20200317|1| 
20200318|1| 
20200319|1| 
20200320|1| 
20200321|0| 
20200322|0| 
20200323|1| 
20200324|1| 
20200325|1| 
20200326|1| 
20200327|1| 
20200328|0| 
20200329|0| 
20200330|1| 
20200331|1| 
20200401|1| 
20200402|1| 
20200403|1| 
20200404|0| 
20200405|0| 
20200406|0| 
20200407|1| 
20200408|1| 
20200409|1| 
20200410|1| 
20200411|0| 
20200412|0| 
20200413|1| 
20200414|1| 
20200415|1| 
20200416|1| 
20200417|1| 
20200418|0| 
20200419|0| 
20200420|1| 
20200421|1| 
20200422|1| 
20200423|1| 
20200424|1| 
20200425|0| 
20200426|0| 
20200427|1| 
20200428|1| 
20200429|1| 
20200430|1| 
20200501|0| 
20200502|0| 
20200503|0| 
20200504|0| 
20200505|0| 
20200506|1| 
20200507|1| 
20200508|1| 
20200509|0| 
20200510|0| 
20200511|1| 
20200512|1| 
20200513|1| 
20200514|1| 
20200515|1| 
20200516|0| 
20200517|0| 
20200518|1| 
20200519|1| 
20200520|1| 
20200521|1| 
20200522|1| 
20200523|0| 
20200524|0| 
20200525|1| 
20200526|1| 
20200527|1| 
20200528|1| 
20200529|1| 
20200530|0| 
20200531|0| 
20200601|1| 
20200602|1| 
20200603|1| 
20200604|1| 
20200605|1| 
20200606|0| 
20200607|0| 
20200608|1| 
20200609|1| 
20200610|1| 
20200611|1| 
20200612|1| 
20200613|0| 
20200614|0| 
20200615|1| 
20200616|1| 
20200617|1| 
20200618|1| 
20200619|1| 
20200620|0| 
20200621|0| 
20200622|1| 
20200623|1| 
20200624|1| 
20200625|0| 
20200626|0| 
20200627|0| 
20200628|0| 
20200629|1| 
20200630|1| 
20200701|1| 
20200702|1| 
20200703|1| 
20200704|0| 
20200705|0| 
20200706|1| 
20200707|1| 
20200708|1| 
20200709|1| 
20200710|1| 
20200711|0| 
20200712|0| 
20200713|1| 
20200714|1| 
20200715|1| 
20200716|1| 
20200717|1| 
20200718|0| 
20200719|0| 
20200720|1| 
20200721|1| 
20200722|1| 
20200723|1| 
20200724|1| 
20200725|0| 
20200726|0| 
20200727|1| 
20200728|1| 
20200729|1| 
20200730|1| 
20200731|1| 
20200801|0| 
20200802|0| 
20200803|1| 
20200804|1| 
20200805|1| 
20200806|1| 
20200807|1| 
20200808|0| 
20200809|0| 
20200810|1| 
20200811|1| 
20200812|1| 
20200813|1| 
20200814|1| 
20200815|0| 
20200816|0| 
20200817|1| 
20200818|1| 
20200819|1| 
20200820|1| 
20200821|1| 
20200822|0| 
20200823|0| 
20200824|1| 
20200825|1| 
20200826|1| 
20200827|1| 
20200828|1| 
20200829|0| 
20200830|0| 
20200831|1| 
20200901|1| 
20200902|1| 
20200903|1| 
20200904|1| 
20200905|0| 
20200906|0| 
20200907|1| 
20200908|1| 
20200909|1| 
20200910|1| 
20200911|1| 
20200912|0| 
20200913|0| 
20200914|1| 
20200915|1| 
20200916|1| 
20200917|1| 
20200918|1| 
20200919|0| 
20200920|0| 
20200921|1| 
20200922|1| 
20200923|1| 
20200924|1| 
20200925|1| 
20200926|0| 
20200927|0| 
20200928|1| 
20200929|1| 
20200930|1| 
20201001|0| 
20201002|0| 
20201003|0| 
20201004|0| 
20201005|0| 
20201006|0| 
20201007|0| 
20201008|0| 
20201009|1| 
20201010|0| 
20201011|0| 
20201012|1| 
20201013|1| 
20201014|1| 
20201015|1| 
20201016|1| 
20201017|0| 
20201018|0| 
20201019|1| 
20201020|1| 
20201021|1| 
20201022|1| 
20201023|1| 
20201024|0| 
20201025|0| 
20201026|1| 
20201027|1| 
20201028|1| 
20201029|1| 
20201030|1| 
20201031|0| 
20201101|0| 
20201102|1| 
20201103|1| 
20201104|1| 
20201105|1| 
20201106|1| 
20201107|0| 
20201108|0| 
20201109|1| 
20201110|1| 
20201111|1| 
20201112|1| 
20201113|1| 
20201114|0| 
20201115|0| 
20201116|1| 
20201117|1| 
20201118|1| 
20201119|1| 
20201120|1| 
20201121|0| 
20201122|0| 
